,bench_name,Benchmark,Target,Ranks,Scaling,Bandwidth (TB/s),Bandwidth (GB/s),model,runtime,device,vsize,Number of GPU Tiles,Number of CPU Cores,Number of CPU Sockets,rtime
38,DotProduct_DR,DotProduct,MHP_SYCL_GPU,1,weak,0.6808665455702778,680.8665455702778,MHP,SYCL,GPU,2000000000,1,56,1.0,2349.9465650201355
62,DotProduct_DR,DotProduct,MHP_SYCL_GPU,1,strong,0.6796229158072778,679.6229158072779,MHP,SYCL,GPU,2000000000,1,56,1.0,2354.246690018492
77,DotProduct_DR,DotProduct,MHP_SYCL_GPU,2,weak,1.3583230113172537,1358.3230113172538,MHP,SYCL,GPU,4000000000,2,112,2.0,2355.846123004832
144,DotProduct_DR,DotProduct,MHP_SYCL_GPU,2,strong,1.3652418873175234,1365.2418873175234,MHP,SYCL,GPU,2000000000,2,112,2.0,1171.9534940022518
31,DotProduct_DR,DotProduct,MHP_SYCL_GPU,3,strong,2.015685261520736,2015.685261520736,MHP,SYCL,GPU,2000000000,3,168,3.0,793.7747179799678
149,DotProduct_DR,DotProduct,MHP_SYCL_GPU,3,weak,2.0318078795546444,2031.8078795546444,MHP,SYCL,GPU,6000000000,3,168,3.0,2362.428085992127
14,DotProduct_DR,DotProduct,MHP_SYCL_GPU,4,weak,2.7427530040316292,2742.753004031629,MHP,SYCL,GPU,8000000000,4,224,4.0,2333.42192701731
125,DotProduct_DR,DotProduct,MHP_SYCL_GPU,4,strong,2.695648536536601,2695.648536536601,MHP,SYCL,GPU,2000000000,4,224,4.0,593.5491880019706
58,DotProduct_Reference,DotProduct,Reference_GPU,1,strong,0.6885200038513912,688.5200038513913,SHP,SYCL,GPU,2000000000,1,56,1.0,2323.82500297746
10,DotProduct_DR,DotProduct,SHP_SYCL_GPU,1,strong,0.6910566039265114,691.0566039265113,SHP,SYCL,GPU,2000000000,1,56,1.0,2315.295145012677
