,bench_name,Benchmark,Target,Ranks,Scaling,Bandwidth (TB/s),Bandwidth (GB/s),model,runtime,device,vsize,Number of GPU Tiles,Number of CPU Cores,Number of CPU Sockets,rtime
37,Reduce_DR,Reduce,MHP_SYCL_GPU,1,weak,0.7272304434450119,727.2304434450118,MHP,SYCL,GPU,2000000000,1,56,1.0,550.0319790039775
61,Reduce_DR,Reduce,MHP_SYCL_GPU,1,strong,0.7257586587661266,725.7586587661266,MHP,SYCL,GPU,2000000000,1,56,1.0,551.1474030224401
76,Reduce_DR,Reduce,MHP_SYCL_GPU,2,weak,1.4377940662466029,1437.7940662466028,MHP,SYCL,GPU,4000000000,2,112,2.0,556.4079159739613
143,Reduce_DR,Reduce,MHP_SYCL_GPU,2,strong,1.4442743270048433,1444.2743270048434,MHP,SYCL,GPU,2000000000,2,112,2.0,276.95569499564925
30,Reduce_DR,Reduce,MHP_SYCL_GPU,3,strong,2.1529724030605593,2152.9724030605594,MHP,SYCL,GPU,2000000000,3,168,3.0,185.78965500504313
148,Reduce_DR,Reduce,MHP_SYCL_GPU,3,weak,2.147900647470607,2147.9006474706066,MHP,SYCL,GPU,6000000000,3,168,3.0,558.6850590194357
13,Reduce_DR,Reduce,MHP_SYCL_GPU,4,weak,2.8698469779871933,2869.8469779871934,MHP,SYCL,GPU,8000000000,4,224,4.0,557.5210149783603
124,Reduce_DR,Reduce,MHP_SYCL_GPU,4,strong,2.846749942862641,2846.7499428626406,MHP,SYCL,GPU,2000000000,4,224,4.0,140.51111197977832
57,Reduce_Reference,Reduce,Reference_GPU,1,strong,0.7268924092307375,726.8924092307376,SHP,SYCL,GPU,2000000000,1,56,1.0,550.2877660028335
9,Reduce_DR,Reduce,SHP_SYCL_GPU,1,strong,0.7263936153427165,726.3936153427165,SHP,SYCL,GPU,2000000000,1,56,1.0,550.6656330001989
